JobIDRaw|JobName|Account|Partition|State|ExitCode|Elapsed|AllocCPUS|ReqMem|MaxRSS|Start|End
18264915|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:01:21|8|32G||2026-08-04T13:59:37|2026-08-04T14:00:58
18264916|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:01:51|8|32G||2026-08-04T13:59:37|2026-08-04T14:01:28
18264973|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:01:54|8|32G||2026-08-04T14:04:38|2026-08-04T14:06:32
18264974|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:22|8|32G||2026-08-04T14:04:38|2026-08-04T14:07:00
18265027|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:01:48|8|32G||2026-08-04T14:09:38|2026-08-04T14:11:26
18265028|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:00|8|32G||2026-08-04T14:09:38|2026-08-04T14:11:38
18265029|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:15|8|32G||2026-08-04T14:09:38|2026-08-04T14:11:53
18265030|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:12|8|32G||2026-08-04T14:09:38|2026-08-04T14:11:50
18265097|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:46|8|32G||2026-08-04T14:14:39|2026-08-04T14:17:25
18265098|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:09|8|32G||2026-08-04T14:14:39|2026-08-04T14:16:48
18265099|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:01:19|8|32G||2026-08-04T14:14:39|2026-08-04T14:15:58
18265100|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:40|8|32G||2026-08-04T14:14:39|2026-08-04T14:17:19
18265164|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:05:13|8|32G||2026-08-04T14:19:40|2026-08-04T14:24:53
18264838|primary_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:24|8|32G||2026-08-04T14:19:40|2026-08-04T14:22:04
18265895|download_fsue|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:39|2|8G||2026-08-04T15:19:50|2026-08-04T15:20:29
18265896|busco_fsue|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:03:06|8|32G||2026-08-04T15:24:51|2026-08-04T15:27:57
18266047|orthofinder_core|YOUR_SLURM_ACCOUNT|compute|CANCELLED by USER_ID|0:0|00:00:00|0|128G||None|2026-08-04T15:53:35
18266169|orthofinder_core|YOUR_SLURM_ACCOUNT|compute|FAILED|1:0|00:00:19|20|80G||2026-08-04T15:54:54|2026-08-04T15:55:13
18266294|orthofinder_core|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|02:06:08|20|80G||2026-08-04T16:24:58|2026-08-04T18:31:06
18267892|iqtree_species|YOUR_SLURM_ACCOUNT|compute|CANCELLED by USER_ID|0:0|07:25:10|20|80G||2026-08-04T19:50:25|2026-08-05T03:15:35
18268166|bivalvia_of_iqtree|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|02:59:46|12|16G||2026-08-04T20:25:28|2026-08-04T23:25:14
18268167|gastropoda_of_iqtree|YOUR_SLURM_ACCOUNT|compute|CANCELLED by USER_ID|0:0|06:50:08|12|16G||2026-08-04T20:25:28|2026-08-05T03:15:36
18269656|orthogroup_distribution|default|compute|CANCELLED by USER_ID|0:0|00:00:00|0|8G||None|2026-08-05T00:28:06
18269657|install_cafe5|default|compute|CANCELLED by USER_ID|0:0|00:00:00|0|8G||None|2026-08-05T00:28:06
18269658|orthogroup_distribution|YOUR_SLURM_ACCOUNT|compute|CANCELLED by USER_ID|0:0|00:00:00|0|8G||None|2026-08-05T00:29:24
18269659|install_cafe5|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:38|2|8G||2026-08-05T00:30:52|2026-08-05T00:31:30
18269660|orthogroup_distribution|YOUR_SLURM_ACCOUNT|test|COMPLETED|0:0|00:00:21|2|8G||2026-08-05T00:29:25|2026-08-05T00:29:46
18269662|orthogroup_distribution|YOUR_SLURM_ACCOUNT|test|COMPLETED|0:0|00:00:04|2|8G||2026-08-05T00:31:50|2026-08-05T00:31:54
